TaskID,Created,Classification,Progress,TitleDocumentID,DocumentPresentInCorpus,Title,SourceExport
15148,2026-05-12T21:00:04Z,Public Relations,Not Started,19900,no,19900 -2026-05-12 -NORTHWEST UNIVERSITY  KANO ( REQUEST FOR A COURTESY VISIT ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15149,2026-05-12T21:01:04Z,Administrative Matters,Not Started,19908,no,19908 -2026-05-12 -BUREAU OF PUBLIC PROCUREMENT (REQUEST FOR TRANSFER OF SERVICE  OF BUKAR FATI ZANNA).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15150,2026-05-12T21:02:09Z,Public Relations,Not Started,19913,no,19913 -2026-05-12 -NFIU (LETTER OF APPRECIATION).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15151,2026-05-12T21:09:28Z,Public Relations,Not Started,19913,no,19913 -2026-05-12 -NFIU (LETTER OF APPRECIATION).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15152,2026-05-13T19:09:21Z,GOV TO GOV,Not Started,19939,no,19939 -2026-05-13 -STANDARDS ORGANIZATION OF NIGERIA (REQUEST FOR NOMINATION OF AN EXPERT TO PARTICIPATE AS A MEMBER OF THE NATIONAL TECHNICAL COMMITTEE  ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15153,2026-05-13T19:21:24Z,Public Relations,Not Started,19938,no,19938 -2026-05-13 -NTA NEWS ( INVITATION TO NTA TUESDAY LIVE ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15154,2026-05-13T19:58:28Z,FMCIDE,Not Started,19937,no,19937 -2026-05-13 -MCIDE (REQUEST INNOVATION TO PARTNER AND PARTICIPATE IN THE 2026.PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15155,2026-05-13T20:01:31Z,FMCIDE,Not Started,19937,no,19937 -2026-05-13 -MCIDE (REQUEST INNOVATION TO PARTNER AND PARTICIPATE IN THE 2026.PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15156,2026-05-14T12:45:13Z,Administrative Matters,Not Started,19915,no,19915 -2026-05-12 -BUREAU OF PUBLIC PROCUREMENT (REQUEST FOR TRANSFER OF SERVICE  OF BUKAR FATI ZANNA).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15157,2026-05-14T12:46:15Z,Sponsorship And Collaborations,Not Started,19919,no,19919 -2026-05-13 -LEADWAY ASSURANCE ( PROPOSAL FOR CYBER INSURANCE ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15158,2026-05-14T12:47:16Z,GOV TO GOV,Not Started,19921,no,19921 -2026-05-13 -NIGERIA REVENUE SERVICE ( REQUEST INVITATION TO NATIONAL WORKSHOP ORGANIZED BY THE GOVERNMENT BUSINESS GROUP ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15159,2026-05-14T12:48:19Z,NITDA Services,Not Started,19924,no,19924 -2026-05-13 -MCIDE (MINSTERIAL REQUEST FOR 3MTT GOV NG DOMAIN NAME).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15160,2026-05-14T13:25:31Z,Public Relations,Not Started,19872,no,19872 -2026-05-11 -NIRA (REQUEST FOR A DATE PRESENTATION OF 2025 NIRA ANNUAL REPORTS).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15161,2026-05-14T13:26:55Z,Administrative Matters,Not Started,19961,no,19961 -2026-05-14 -ABUJA MUNICIPAL AREA COUNCIL (REMINDER NOTICE ON CORPORATE PARKING-PARKING  PERMIT ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15162,2026-05-14T13:28:29Z,Administrative Matters,Not Started,19961,no,19961 -2026-05-14 -ABUJA MUNICIPAL AREA COUNCIL (REMINDER NOTICE ON CORPORATE PARKING-PARKING  PERMIT ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15163,2026-05-14T13:29:06Z,Engagements and Events,Not Started,19958,no,19958 -2026-05-14 -UNIVERSITY BASIC EDUCATION COMMISSION (INVITATION TO THE HOPE-EDU TECHNICAL SUPPORT MISSION ON THE FINALIZATION OF THE BOOK).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15164,2026-05-14T13:42:11Z,Engagements and Events,Not Started,19958,no,19958 -2026-05-14 -UNIVERSITY BASIC EDUCATION COMMISSION (INVITATION TO THE HOPE-EDU TECHNICAL SUPPORT MISSION ON THE FINALIZATION OF THE BOOK).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15165,2026-05-14T13:42:48Z,Engagements and Events,Not Started,19958,no,19958 -2026-05-14 -UNIVERSITY BASIC EDUCATION COMMISSION (INVITATION TO THE HOPE-EDU TECHNICAL SUPPORT MISSION ON THE FINALIZATION OF THE BOOK).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15166,2026-05-14T13:43:21Z,Unclassifieds,Not Started,19966,no,19966 -2026-05-14 -LOWCOST PROPERTIES (LETTER OF PROPOSAL FOR REAL ESTATE INVESTMENT PARTNERSHIP ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15167,2026-05-14T13:46:33Z,Unclassifieds,Not Started,19700,no,19700 -2026-04-29 -INNOVA (STRATEGIC PARTNERSHIP PROPOSAL ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15168,2026-05-14T13:47:20Z,Unclassifieds,Not Started,19700,no,19700 -2026-04-29 -INNOVA (STRATEGIC PARTNERSHIP PROPOSAL ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15169,2026-05-14T14:27:48Z,Unclassifieds,Not Started,19700,no,19700 -2026-04-29 -INNOVA (STRATEGIC PARTNERSHIP PROPOSAL ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15170,2026-05-14T15:27:46Z,Unclassifieds,Not Started,19700,no,19700 -2026-04-29 -INNOVA (STRATEGIC PARTNERSHIP PROPOSAL ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15171,2026-05-14T15:29:12Z,Unclassifieds,Not Started,19700,no,19700 -2026-04-29 -INNOVA (STRATEGIC PARTNERSHIP PROPOSAL ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15172,2026-05-14T15:32:14Z,Unclassifieds,Not Started,19700,no,19700 -2026-04-29 -INNOVA (STRATEGIC PARTNERSHIP PROPOSAL ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15173,2026-05-14T15:42:40Z,Administrative Matters,Not Started,19830,no,19830 -2026-05-07 -INAH IMAN NIGERIA LTD (REQUEST FOR PAYMENT PROVISION OF PETROL AND DIESEL NEEDSOF ALL ZONZL OFFICES).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15174,2026-05-14T15:47:39Z,Administrative Matters,Not Started,19822,no,19822 -2026-05-07 -NAH IMAN NIGERIA LTD (REQUEST FOR PAYMENT FOR THE MONTH OF MAY 2026).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15175,2026-05-14T15:48:02Z,Administrative Matters,Not Started,19830,no,19830 -2026-05-07 -INAH IMAN NIGERIA LTD (REQUEST FOR PAYMENT PROVISION OF PETROL AND DIESEL NEEDSOF ALL ZONZL OFFICES).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15176,2026-05-14T15:55:35Z,Public Relations,Not Started,19873,no,19873 -2026-05-11 -ASIN (BILATERAL MEETING REQUEST-ASIN DELEGATION VISIT TO ABUJA MAY 2026 ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15177,2026-05-14T15:56:12Z,Contracts and Services,Not Started,19882,no,19882 -2026-05-11 -OPERA ENERGY SERVICE LIMITED (APPLICATION FOR JOB COMPLETION CERTIFICATE FOR PROCUREMENT OF HIGH-PERFORMANCE).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15178,2026-05-14T15:57:39Z,Internships,Not Started,19902,no,19902 -2026-05-12 -FEDERAL REPUBLIC OF NIGERIA (REQUEST FOR ACCEPTANCE OF POSTED CORP MEMBER FOR NATIONAL YOUTH SERVICE ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15179,2026-05-14T15:58:50Z,Sponsorship And Collaborations,Not Started,19906,no,19906 -2026-05-12 -CITIZEN TV ( LETTER OF INTRODUCTION ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15180,2026-05-14T16:01:06Z,GOV TO GOV,Not Started,19907,no,19907 -2026-05-12 -OFFICE OF THE NATIONAL SECURITY ADVISER (REQUEST UNITED NATIONS WARNS OF RISK OF INFORMATION CRISIS FUELLED BY AI IN ADVERTISING ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15181,2026-05-14T16:01:36Z,Public Relations,Not Started,19910,no,19910 -2026-05-12 -BAYERO UNIVERSITY KANO (REQUEST FOR COURTESY VISIT).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15182,2026-05-14T16:04:07Z,Public Relations,Not Started,19911,no,19911 -2026-05-12 -FCT SECONDARY EDUCATION BOARD EDUCATION SECRETARIAT ( COURTESY VISIT AND PARTNERSHIP ON FCT-SEB DIGITIZATION ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15183,2026-05-14T16:05:55Z,Public Relations,Not Started,19913,no,19913 -2026-05-12 -NFIU (LETTER OF APPRECIATION).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15184,2026-05-14T16:07:00Z,Administrative Matters,Not Started,19915,no,19915 -2026-05-12 -BUREAU OF PUBLIC PROCUREMENT (REQUEST FOR TRANSFER OF SERVICE  OF BUKAR FATI ZANNA).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15185,2026-05-14T16:07:49Z,Public Relations,Not Started,19926,no,19926 -2026-05-13 -NASSNEWS (ONE ON ONE INTERVIEW).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15186,2026-05-14T16:09:51Z,Public Relations,Not Started,19900,no,19900 -2026-05-12 -NORTHWEST UNIVERSITY  KANO ( REQUEST FOR A COURTESY VISIT ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15187,2026-05-14T16:10:29Z,Public Relations,Not Started,19899,no,19899 -2026-05-12 -NIGERIAN ASSOCIATION OF RESIDENTDOCTORS ( REQUEST FOR A COURTESY VISIT ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15188,2026-05-14T16:12:23Z,GOV TO GOV,Not Started,19905,no,19905 -2026-05-12 -FEDERAL MINISTRY OF INDUSTRY TRADE AND INVESTMENT ( INVITATION TO PARTICIPATE IN THE SECOND NIGERIA-EU TRADE AND INVESTMENT).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15189,2026-05-14T16:13:27Z,Sponsorship And Collaborations,Not Started,19909,no,19909 -2026-05-12 -FMACTCE (LETTER OF INTRODUCTION AND INVITATION TO PARTICPATE ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15190,2026-05-14T16:15:14Z,Public Relations,Not Started,19918,no,19918 -2026-05-13 -THE EXPOSURE MAGAZINE ( LETTER OF NOTIFICATION FOR AWARD OF MERIT AS NIGERIAN MOST OUTSTANDING AGENCY OF THE YEAR ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15191,2026-05-14T16:15:22Z,Public Relations,Not Started,19918,no,19918 -2026-05-13 -THE EXPOSURE MAGAZINE ( LETTER OF NOTIFICATION FOR AWARD OF MERIT AS NIGERIAN MOST OUTSTANDING AGENCY OF THE YEAR ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15192,2026-05-14T16:18:06Z,GOV TO GOV,Not Started,19921,no,19921 -2026-05-13 -NIGERIA REVENUE SERVICE ( REQUEST INVITATION TO NATIONAL WORKSHOP ORGANIZED BY THE GOVERNMENT BUSINESS GROUP ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15193,2026-05-14T16:19:51Z,GOV TO GOV,Not Started,19922,no,19922 -2026-05-13 -FMHAPR (REQUEST INVITATION TO PARTICIPATE IN THE STUDY MISSION ON POVERTY  ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15194,2026-05-14T16:20:11Z,NITDA Services,Not Started,19924,no,19924 -2026-05-13 -MCIDE (MINSTERIAL REQUEST FOR 3MTT GOV NG DOMAIN NAME).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15195,2026-05-14T16:21:17Z,Engagements and Events,Not Started,19927,no,19927 -2026-05-13 -NATIONAL POPULATION COMMISSION (INVITATION TO THE 1ST QUARTERLY COMMITEE MEETING ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15196,2026-05-14T16:23:45Z,NITDA Services,Not Started,19929,no,19929 -2026-05-13 -SERAP (REQUEST FOR COPIES OF THE ANNUAL COMPLIANCE REPORTS ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15197,2026-05-14T16:26:08Z,Sponsorship And Collaborations,Not Started,19934,no,19934 -2026-05-13 -OAUGF (REQUEST INVITATION TO THE EXECUTIVE INTERNATIONAL PROGRAMME ON ACCOUNTABILITY ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15198,2026-05-14T16:27:20Z,FMCIDE,Not Started,19937,no,19937 -2026-05-13 -MCIDE (REQUEST INNOVATION TO PARTNER AND PARTICIPATE IN THE 2026.PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15199,2026-05-14T16:28:22Z,Public Relations,Not Started,19938,no,19938 -2026-05-13 -NTA NEWS ( INVITATION TO NTA TUESDAY LIVE ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15200,2026-05-14T16:29:31Z,GOV TO GOV,Not Started,19939,no,19939 -2026-05-13 -STANDARDS ORGANIZATION OF NIGERIA (REQUEST FOR NOMINATION OF AN EXPERT TO PARTICIPATE AS A MEMBER OF THE NATIONAL TECHNICAL COMMITTEE  ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15201,2026-05-14T16:30:18Z,NITDA Services,Not Started,19948,no,19948 -2026-05-14 -CAROLINE BELLO & CO. (APPLICATION FOR NO OBJECTION FOR THE REGISTRATION OF CENTRE FOR SUSTAINABLE DIGITAL INNOVATIONAL LTD-GTE).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15202,2026-05-14T16:31:07Z,NITDA Services,Not Started,19955,no,19955 -2026-05-14 -NCTM (REMINDER REQUEST FOR CREATION AND MAPPING OF ERP. NACETEM.GOV.NG DOMAIN).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15203,2026-05-14T16:31:44Z,Administrative Matters,Not Started,19959,no,19959 -2026-05-14 -RADIO NIGERIA (REQUEST TRANSFER OF SERVICE FATIMA UMAR BELLO ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15204,2026-05-14T16:32:52Z,Interventions,Not Started,19968,no,19968 -2026-05-14 -BUREAU OF PUBLIC PROCUREMENT (REQUEST FOR INTERVENTION ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15205,2026-05-14T16:33:17Z,Administrative Matters,Not Started,19970,no,19970 -2026-05-14 -BUREAU OF PUBLIC PROCUREMENT ( REQUEST FOR SECONDMENT OF HASHIM  SULEIMAN.PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15206,2026-05-14T16:34:17Z,Engagements and Events,Not Started,19971,no,19971 -2026-05-14 -CENTRAL BANK OF NIGERIA (INVITATION TO ATTEND THE OFFICIAL LAUNCH OF THE CBN FOREIGN EXCHANGE MANUAL ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15207,2026-05-14T16:35:06Z,Administrative Matters,Not Started,19962,no,19962 -2026-05-14 -ABUJA MUNICIPAL AREA COUNCIL (REMINDER NOTICE ON CORPORATE PARKING-PARKING  PERMIT ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15208,2026-05-14T20:18:19Z,No Classification,Not Started,,no,No Title,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15209,2026-05-14T20:26:44Z,No Classification,Not Started,,no,No Title,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15210,2026-05-15T02:02:25Z,Unclassifieds,Not Started,19912,no,19912 -2026-05-12 -NET CONSTRUCT (PROPOSAL FOR A CORPORATE HOUSING PARTNERSHIP ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15211,2026-05-15T02:28:13Z,Unclassifieds,Not Started,19912,no,19912 -2026-05-12 -NET CONSTRUCT (PROPOSAL FOR A CORPORATE HOUSING PARTNERSHIP ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15212,2026-05-15T02:40:58Z,Unclassifieds,Not Started,19912,no,19912 -2026-05-12 -NET CONSTRUCT (PROPOSAL FOR A CORPORATE HOUSING PARTNERSHIP ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
15213,2026-05-15T02:43:09Z,Unclassifieds,Not Started,19912,no,19912 -2026-05-12 -NET CONSTRUCT (PROPOSAL FOR A CORPORATE HOUSING PARTNERSHIP ).PDF,definitions/Copy of - Fetch_All_Data_&_References_Matrix-POST__08584201914788160149253197884CU95__flow_run_record.json
